camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,critical_flag,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,violation_code,violation_description,score,grade,grade_date
41521007,"PRIME TAVERN, DELTA TERMINAL",Queens,,US AIRWAYS TERMINAL,11371,7186566210,American,2016-08-25T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10.0,A,2016-08-25T00:00:00.000
40510293,DON PEPIS DELICATESSEN,Manhattan,,AMTRAK LEVEL,10001,2127600802,Sandwiches,2022-03-07T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,,,,,,,,,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,12.0,A,2022-03-07T00:00:00.000
41570371,LAVAZZA ESPRESSO BAR,Queens,,JFK INTERNATIONAL AIRPORT,11430,7187511634,American,2019-05-15T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,04A,Food Protection Certificate not held by supervisor of food operations.,10.0,A,2019-05-15T00:00:00.000
41022989,MULBERRY STREET BAR,Manhattan,176 1/2,MULBERRY STREET,10013,2122269345,Italian,2023-10-25T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Administrative Miscellaneous / Initial Inspection,40.720319943672,-73.99689388844,,,,,,,28-01,"Nuisance created or allowed to exist. Facility not free from unsafe, hazardous, offensive or annoying condition.",,,
50002431,DUE AMICI,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464835087,Italian,2017-11-01T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10I,"Single service item reused, improperly stored, dispensed; not used when required.",6.0,A,2017-11-01T00:00:00.000
50125420,MADE IN NEW YORK PIZZA,Manhattan,271 1/2,AMSTERDAM AVENUE,10023,5164597400,Pizza,2022-11-09T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,40.779017919773,-73.981310731227,,,,,,,04L,Evidence of mice or live mice in establishment's food or non-food areas.,49.0,,
50001777,AU BON PAIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,7189176430,Soups/Salads/Sandwiches,2017-02-23T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,25.0,,
41022989,MULBERRY STREET BAR,Manhattan,176 1/2,MULBERRY STREET,10013,2122269345,Italian,2024-04-25T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,40.720319943672,-73.99689388844,,,,,,,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",9.0,A,2024-04-25T00:00:00.000
50104703,BROOKLYN DINER,Queens,HH4L-332,TERM B LAGUARDIA RD,11371,3476478336,American,2024-05-22T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12.0,A,2024-05-22T00:00:00.000
41629672,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,6316620284,Donuts,2024-09-20T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",10.0,A,2024-09-20T00:00:00.000
50118952,DELTA SKY CLUB,Queens,LA GUARDIA,AIRPORT,11371,9295147835,Continental,2024-03-15T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",13.0,A,2024-03-15T00:00:00.000
41414797,(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),Manhattan,,CENTRAL PARK WEST,10024,6467475354,American,2018-07-25T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,,,,,,,,,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,27.0,B,2018-07-25T00:00:00.000
50081641,DUNKIN,Queens,N/A,"MARINE TER, LA GARDIA AIRPORT",11371,9732238527,Donuts,2019-05-16T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Re-inspection,,,,,,,,,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",5.0,A,2019-05-16T00:00:00.000
50067032,DEATH AVENUE: TAP ROOM,Manhattan,,10TH AVE,10001,2126958080,American,2024-12-04T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",18.0,,
41629692,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,3472191094,Donuts,2024-08-22T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Administrative Miscellaneous / Re-inspection,40.648312826068,-73.788281497594,,,,,,,19-10,Failure to display required signage about plastic straw availability,,,
50125420,MADE IN NEW YORK PIZZA,Manhattan,271 1/2,AMSTERDAM AVENUE,10023,5164597400,Pizza,2023-01-04T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Re-inspection,40.779017919773,-73.981310731227,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,13.0,A,2023-01-04T00:00:00.000
50063280,ENZO'S OF ARTHUR AVE,Bronx,,ARTHUR AVE,10458,7187334455,Italian,2022-11-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",19.0,,
50118709,SUNDAY SUPPER TRATTORIA,Queens,,TERMINAL C LEVEL 3 CONCOURSE E,11371,2159970667,Italian,2022-10-26T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",7.0,A,2022-10-26T00:00:00.000
50155025,MARY O'S IRISH SODA BREAD SHOP,Manhattan,93 1/2,EAST    7 STREET,10009,2125055611,Irish,2024-10-17T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Non-operational) / Initial Inspection,40.726810422053,-73.985337431337,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",24.0,N,
50128822,STARBUCKS,Queens,,AIRPORT TERMINAL B,11371,2018218189,Coffee/Tea,2023-04-18T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",6.0,A,2023-04-18T00:00:00.000
50133264,NOM WAH (KIOSK 11),Manhattan,PIER 57,KIOSK 11,10011,6467634242,Chinese,2023-06-27T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,03I,"Juice packaged on premises with no or incomplete label, no warning statement",36.0,,
50002422,TAGLIERE,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464835087,Pizza,2017-06-08T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",4.0,A,2017-06-08T00:00:00.000
41521007,"PRIME TAVERN, DELTA TERMINAL",Queens,,US AIRWAYS TERMINAL,11371,7186566210,American,2019-05-16T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,9.0,A,2019-05-16T00:00:00.000
41414797,(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),Manhattan,,CENTRAL PARK WEST,10024,6467475354,American,2018-07-25T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,,,,,,,,,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,27.0,B,2018-07-25T00:00:00.000
40510293,DON PEPIS DELICATESSEN,Manhattan,,AMTRAK LEVEL,10001,2127600802,Sandwiches,2023-03-24T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",12.0,A,2023-03-24T00:00:00.000
50032708,STARBUCKS,Queens,JFK,INTL AIRPORT,11430,7186790452,Coffee/Tea,2024-08-28T00:00:00.000,No violations were recorded at the time of this inspection.,Not Applicable,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,,,0.0,A,2024-08-28T00:00:00.000
50058445,JAMBA JUICE,Manhattan,,AMTRAK LEVEL,10001,2126952602,"Juice, Smoothies, Fruit Salads",2024-06-05T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",5.0,A,2024-06-05T00:00:00.000
50058445,JAMBA JUICE,Manhattan,,AMTRAK LEVEL,10001,2126952602,"Juice, Smoothies, Fruit Salads",2023-01-30T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",3.0,A,2023-01-30T00:00:00.000
50002431,DUE AMICI,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464835087,Italian,2020-02-05T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",5.0,A,2020-02-05T00:00:00.000
41257223,ABITINO'S PIZZA,Queens,,JFK AIRPORT,11430,7182447442,Pizza,2022-06-01T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,12.0,A,2022-06-01T00:00:00.000
41414797,(PUBLIC FARE) 81st street and central park west (Delacorte Theatre),Manhattan,,CENTRAL PARK WEST,10024,6467475354,American,2018-07-25T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,,,,,,,,,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",27.0,B,2018-07-25T00:00:00.000
40510293,DON PEPIS DELICATESSEN,Manhattan,,AMTRAK LEVEL,10001,2127600802,Sandwiches,2023-03-24T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,12.0,A,2023-03-24T00:00:00.000
50146943,EL HUASTECO MEXICAN FOOD,Brooklyn,347A-347B,EMPIRE BLVD,11225,6616276320,Mexican,2024-09-26T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",47.0,,
50112968,DELICE MACARONS,Manhattan,321 1/2,AMSTERDAM AVENUE,10023,6469639913,Bakery Products/Desserts,2024-04-16T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.780645360257,-73.980129526749,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,7.0,A,2024-04-16T00:00:00.000
41612260,TROPICAL RESTAURANT,Queens,88-18/20,JAMAICA AVENUE,11421,7188468816,Mediterranean,2022-11-09T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests  in  establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",13.0,A,2022-11-09T00:00:00.000
41629672,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,6316620284,Donuts,2022-08-08T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",22.0,,
50002434,CIBO MARKET,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464775291,American,2017-11-01T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2.0,A,2017-11-01T00:00:00.000
50146943,EL HUASTECO MEXICAN FOOD,Brooklyn,347A-347B,EMPIRE BLVD,11225,6616276320,Mexican,2024-09-26T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10G,"Dishwashing and ware washing: Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.",47.0,,
50002425,CIBO MARKET,Queens,,JFK INTERNATIONAL AIRPORT,11430,9292591541,American,2017-12-05T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",2.0,A,2017-12-05T00:00:00.000
40376515,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,Manhattan,,W 79 STREET,10024,2127695370,American,2024-10-28T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,04L,Evidence of mice or live mice in establishment's food or non-food areas.,12.0,A,2024-10-28T00:00:00.000
50002426,SHISO,Queens,,JFK INTERNATIONAL AIRPORT,11430,6464775291,Japanese,2018-05-24T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",12.0,A,2018-05-24T00:00:00.000
50095175,MEZZE GRAB & GO,Queens,JFK,INTERNATIONAL AIRPORT TERM,11430,718_656807,American,2024-07-12T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,13.0,A,2024-07-12T00:00:00.000
50103409,EAT PRETTY COFFEE + KITCHEN,Manhattan,501 1/2,EAST   83 STREET,10028,6465908190,Coffee/Tea,2023-03-13T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,40.773828398358,-73.948193324494,,,,,,,04L,Evidence of mice or live mice in establishment's food or non-food areas.,10.0,A,2023-03-13T00:00:00.000
50010248,CAFE GRUMPY,Manhattan,,LEXINGTON AVE,10017,2126612198,Coffee/Tea,2024-05-22T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,,,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",51.0,C,2024-05-22T00:00:00.000
50104703,BROOKLYN DINER,Queens,HH4L-332,TERM B LAGUARDIA RD,11371,3476478336,American,2023-04-18T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,02B,Hot TCS food item not held at or above 140 °F.,12.0,A,2023-04-18T00:00:00.000
50010248,CAFE GRUMPY,Manhattan,,LEXINGTON AVE,10017,2126612198,Coffee/Tea,2023-12-07T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",32.0,,
50010286,GRAND BANKS,Manhattan,,Park N. Moore St. at West S,10013,2126606312,Seafood,2022-06-21T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",12.0,A,2022-06-21T00:00:00.000
50010286,GRAND BANKS,Manhattan,,Park N. Moore St. at West S,10013,2126606312,Seafood,2023-10-25T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,09A,"Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE",9.0,A,2023-10-25T00:00:00.000
50010248,CAFE GRUMPY,Manhattan,,LEXINGTON AVE,10017,2126612198,Coffee/Tea,2024-06-13T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Compliance Inspection,,,,,,,,,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",13.0,,
50118708,STARBUCKS RESERVE,Queens,,TERMINAL C HEADHOUSE LEVEL 3,11371,9297895469,Coffee/Tea,2024-10-30T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,12.0,A,2024-10-30T00:00:00.000
50081661,BAR 212,Queens,,CENTRAL TERMINAL BUILDING,11371,7037237264,American,2023-04-18T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,,,,,,,,,10H,"Single service article not provided.  Single service article reused or not protected from contamination when transported, stored, dispensed.  Drinking straws not completely enclosed in wrapper or dispensed from a sanitary device.",6.0,A,2023-04-18T00:00:00.000
50139922,WAFELS & DINGES/PERROS Y VAINAS,Manhattan,,PLEIN,10004,2017230073,Frozen Desserts,2023-08-15T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,10B,Anti-siphonage or back-flow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly. Condensation or liquid waste improperly disposed of.,12.0,A,2023-08-15T00:00:00.000
50001777,AU BON PAIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,7189176430,Soups/Salads/Sandwiches,2017-06-08T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",4.0,A,2017-06-08T00:00:00.000
50017261,CAFE DE NOVO,Manhattan,94 1/2,GREENWICH STREET,10006,9175028199,American,2023-02-03T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.708077516357,-74.013551114642,,,,,,,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",12.0,A,2023-02-03T00:00:00.000
50118706,STARBUCKS CONNECTOR/CIBO EXPRESS,Queens,,"TERMINAL C, LEVEL 3, CONCOURSE E",11371,2159970667,Coffee/Tea,2024-10-30T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11.0,A,2024-10-30T00:00:00.000
50092847,LA NEWYORKINA,Manhattan,NKA,high line park west 30th street,10011,9176694591,Other,2023-07-20T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,10.0,A,2023-07-20T00:00:00.000
50155025,MARY O'S IRISH SODA BREAD SHOP,Manhattan,93 1/2,EAST    7 STREET,10009,2125055611,Irish,2024-10-17T00:00:00.000,Violations were cited in the following area(s).,Not Applicable,2025-02-23T06:00:10.000,Smoke-Free Air Act / Initial Inspection,40.726810422053,-73.985337431337,,,,,,,15-27,Sign prohibiting smoking or using electronic cigarettes not conspicuously posted.,,,
50010248,CAFE GRUMPY,Manhattan,,LEXINGTON AVE,10017,2126612198,Coffee/Tea,2024-06-13T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Compliance Inspection,,,,,,,,,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",13.0,,
50093943,CREME,Manhattan,27 1/2,ESSEX STREET,10002,9173783958,Coffee/Tea,2023-10-31T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.715722034668,-73.989675870276,,,,,,,04N,"Filth flies or food/refuse/sewage associated with (FRSA) flies or other nuisance pests in establishment’s food and/or non-food areas. FRSA flies include house flies, blow flies, bottle flies, flesh flies, drain flies, Phorid flies and fruit flies.",12.0,A,2023-10-31T00:00:00.000
41629692,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,3472191094,Donuts,2024-08-22T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Re-inspection,40.648312826068,-73.788281497594,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",29.0,C,2024-08-22T00:00:00.000
50012309,BIRCH COFFEE,Manhattan,134 1/2,EAST   62 STREET,10065,9178416564,Coffee/Tea,2023-04-10T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.764344097156,-73.967416531325,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",8.0,A,2023-04-10T00:00:00.000
41629692,DUNKIN,Queens,,JFK INTERNATIONAL AIRPORT,11430,3472191094,Donuts,2024-06-20T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.648312826068,-73.788281497594,,,,,,,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",33.0,,
50006776,CAMDEN FOOD COMPANY,Queens,,AIRPORT TERMINAL 4,11430,7187514777,Sandwiches/Salads/Mixed Buffet,2022-06-02T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",7.0,A,2022-06-02T00:00:00.000
50103409,EAT PRETTY COFFEE + KITCHEN,Manhattan,501 1/2,EAST   83 STREET,10028,6465908190,Coffee/Tea,2023-02-24T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,40.773828398358,-73.948193324494,,,,,,,03I,"Juice packaged on premises with no or incomplete label, no warning statement",29.0,,
50118701,EGGY WEGGY / ESSEX BURGER,Queens,,TERMINAL C LEVEL 2 CONCOURSE E,11369,2159970667,Asian/Asian Fusion,2022-10-26T00:00:00.000,Violations were cited in the following area(s).,Critical,2025-02-23T06:00:10.000,Pre-permit (Operational) / Initial Inspection,,,,,,,,,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",11.0,A,2022-10-26T00:00:00.000
41612260,TROPICAL RESTAURANT,Queens,88-18/20,JAMAICA AVENUE,11421,7188468816,Mediterranean,2024-05-20T00:00:00.000,Violations were cited in the following area(s).,Not Critical,2025-02-23T06:00:10.000,Cycle Inspection / Initial Inspection,,,,,,,,,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",41.0,,
